Flow_Rate,Suction_Pressure,Discharge_Pressure,Vibration_RMS,Bearing_Temperature,Motor_Power,Fluid_Temperature,Cavitation_Index,Pump_Failure
177.66,2.13,7.21,2.26,73.04,69.48,37.01,1.52,0
258.31,2.0,10.55,1.07,45.03,54.91,23.21,2.16,0
261.69,2.64,13.72,1.05,48.23,55.07,39.88,2.87,0
285.18,3.17,15.59,2.19,32.43,57.4,37.27,2.31,0
194.34,1.8,9.11,5.53,65.75,55.72,54.13,0.66,0
190.58,2.41,9.1,1.27,62.05,64.05,35.88,2.39,0
273.49,1.46,12.08,1.71,55.12,91.73,49.79,1.23,0
263.36,2.26,6.81,2.7,63.88,54.47,37.81,1.43,0
261.27,2.52,10.89,1.74,62.75,61.34,28.18,2.11,0
265.59,1.99,7.66,0.58,50.61,63.51,44.72,2.71,0
219.4,2.23,15.42,2.2,45.58,52.31,52.18,1.61,0
260.45,1.66,10.08,1.24,34.42,53.98,49.07,1.66,0
263.19,2.55,16.13,1.66,52.87,74.9,43.14,2.18,0
217.85,3.13,14.78,6.04,39.3,52.35,49.97,1.08,0
333.96,1.84,10.38,1.74,56.95,46.68,41.7,1.54,0
271.32,2.13,9.32,0.4,53.07,86.74,40.82,3.22,0
196.39,2.8,11.52,1.6,50.18,41.92,25.27,2.45,0
279.54,3.23,11.74,1.95,67.56,73.25,42.12,2.52,0
206.14,1.6,12.87,3.2,43.16,56.98,55.08,0.9,0
285.42,2.4,10.06,2.45,32.82,41.77,23.64,1.62,0
302.14,2.67,13.87,2.43,52.3,54.35,26.88,1.82,0
213.07,2.44,12.66,2.58,46.12,56.62,36.73,1.59,0
293.35,1.01,11.15,3.52,56.46,35.55,26.44,0.53,0
268.58,2.8,10.22,0.57,44.04,66.42,46.84,3.84,0
286.99,3.41,11.54,7.53,60.05,64.91,22.72,0.97,1
335.36,2.57,9.96,1.53,43.33,54.77,46.81,2.31,0
238.96,1.88,12.15,0.83,43.2,67.1,50.04,2.26,0
216.08,2.19,12.21,2.76,62.4,63.06,46.57,1.37,0
209.97,3.56,12.65,1.68,54.44,79.41,40.2,3.04,0
213.29,3.05,16.42,3.86,40.76,43.83,45.34,1.49,0
246.53,2.88,11.67,1.3,43.58,55.61,28.45,2.83,0
265.35,2.71,14.51,4.22,50.53,75.02,42.6,1.24,0
262.45,2.1,12.57,0.85,41.28,68.12,33.82,2.51,0
287.22,2.38,11.4,6.53,51.54,25.48,48.91,0.76,0
250.59,2.45,11.7,2.02,51.97,34.96,47.1,1.88,0
315.41,2.83,11.85,5.37,44.0,60.01,31.9,1.07,0
238.09,3.41,12.7,0.73,62.8,84.6,43.52,4.0,0
372.41,3.17,9.6,3.41,42.76,53.52,43.93,1.7,0
278.16,1.65,8.34,3.35,69.95,69.73,35.26,0.9,0
211.43,2.63,13.64,1.79,52.38,61.24,40.22,2.17,0
201.81,2.94,14.25,0.4,47.08,68.68,45.12,4.0,0
271.71,2.87,13.86,3.43,61.47,76.06,35.43,1.53,0
239.94,2.12,12.39,1.59,55.41,74.16,31.14,1.87,0
282.13,4.25,13.92,4.79,64.12,73.64,42.28,1.76,0
271.3,1.73,13.78,3.96,30.99,50.78,54.83,0.83,0
246.72,1.85,13.97,4.78,61.2,57.73,38.47,0.77,0
211.89,2.64,9.85,3.03,48.77,67.78,36.48,1.54,0
181.83,3.77,9.26,2.24,55.45,67.24,32.07,2.7,0
229.91,2.0,11.03,5.49,53.94,68.92,51.5,0.74,0
288.54,2.34,11.96,9.37,71.16,33.47,48.75,0.55,1
259.63,3.15,11.4,2.09,32.67,77.96,38.54,2.36,0
193.94,2.49,7.31,4.72,74.37,34.45,32.13,1.04,0
257.79,2.3,16.3,1.19,63.48,48.74,32.03,2.35,0
267.34,2.84,11.31,0.81,56.83,62.93,31.45,3.45,0
210.23,2.66,12.43,1.21,37.8,59.56,35.07,2.7,0
256.92,3.12,15.11,1.13,34.94,81.28,34.39,3.28,0
252.62,3.27,6.14,3.51,48.27,42.44,32.62,1.72,0
198.57,2.68,10.72,1.41,62.62,54.54,51.15,2.52,0
266.1,2.68,11.03,0.87,54.93,30.46,55.85,3.15,0
275.24,2.63,11.16,0.88,61.94,61.97,29.11,3.08,0
298.74,2.79,11.57,2.99,37.44,56.88,34.29,1.65,0
297.42,2.53,15.62,3.49,55.53,41.4,30.52,1.34,0
188.0,2.5,13.68,3.14,68.14,79.64,43.18,1.42,0
207.8,3.22,14.4,3.4,72.42,76.2,36.6,1.73,0
273.18,3.41,12.12,1.59,39.95,61.08,29.69,3.0,0
273.12,1.6,8.5,7.37,50.78,77.08,56.53,0.46,1
273.18,2.51,6.8,1.62,50.91,58.61,44.88,2.18,0
423.37,2.09,8.18,1.35,47.48,70.71,30.21,2.01,0
275.69,2.31,12.9,3.44,65.89,72.95,55.07,1.23,0
301.1,2.74,12.08,1.57,89.46,43.97,28.53,2.43,1
292.93,2.9,11.47,1.32,41.64,66.49,46.14,2.82,0
279.31,2.43,11.08,1.68,60.1,62.53,64.18,2.08,0
235.81,1.35,17.03,2.39,58.55,44.64,38.69,0.93,0
284.15,1.92,9.94,4.22,58.8,40.84,37.12,0.88,0
215.22,3.04,14.32,0.43,71.0,67.47,41.68,4.0,0
239.34,0.86,12.0,4.24,59.48,55.77,62.25,0.39,0
228.16,3.21,11.85,0.57,29.36,38.03,54.76,4.0,0
253.68,2.81,14.94,0.65,37.76,68.69,35.57,3.71,0
354.16,3.29,15.66,2.48,42.2,74.02,43.05,2.2,0
165.97,2.38,11.4,0.46,46.02,42.43,49.23,3.47,0
280.88,1.26,14.0,1.3,53.33,59.98,35.71,1.24,0
177.43,2.76,12.91,3.91,52.42,82.78,28.68,1.34,0
228.76,3.26,12.02,3.44,33.12,46.33,50.84,1.74,0
299.0,3.05,12.51,4.22,35.7,85.61,45.1,1.4,0
252.89,2.1,10.28,1.22,29.57,55.14,43.19,2.13,0
201.5,2.55,11.23,1.63,36.35,58.95,51.07,2.22,0
217.81,2.18,10.55,0.6,66.89,39.08,28.55,2.95,0
280.58,2.01,14.25,1.67,51.75,39.63,37.68,1.72,0
217.13,3.07,11.76,0.62,43.57,50.16,66.38,4.0,0
259.74,1.78,8.76,9.61,31.99,73.28,45.68,0.41,1
252.05,1.96,10.19,2.81,42.85,95.11,46.28,1.21,0
220.68,1.84,4.0,2.37,62.29,99.09,41.06,1.27,0
346.48,1.61,10.76,1.16,60.71,58.15,21.59,1.66,0
278.53,2.59,12.09,1.07,51.97,54.65,31.82,2.78,0
158.87,3.2,11.66,1.45,51.8,45.24,49.13,2.96,0
258.39,2.39,16.95,2.6,33.74,76.72,34.58,1.55,0
220.22,1.6,13.44,0.82,45.69,49.11,38.3,1.93,0
288.36,3.0,13.33,0.61,61.67,56.44,42.91,4.0,0
214.34,3.51,7.89,0.4,46.9,67.45,30.23,4.0,0
244.84,2.11,11.09,2.86,74.48,66.77,27.18,1.28,0
272.72,2.21,10.78,1.83,69.47,50.84,39.87,1.79,0
288.96,2.81,10.03,1.44,49.55,58.57,36.29,2.61,0
195.99,3.47,10.0,0.81,51.82,51.24,42.28,4.0,0
234.95,2.19,7.48,1.44,81.68,47.51,25.68,2.03,0
228.63,1.7,8.81,4.85,65.17,44.62,34.65,0.7,0
220.6,2.88,14.19,1.03,55.84,37.93,46.89,3.16,0
329.45,2.98,11.64,3.1,57.23,65.43,69.46,1.71,0
268.22,2.5,10.73,3.43,56.79,56.39,41.19,1.34,0
193.26,2.17,11.99,0.75,54.8,42.97,46.71,2.71,0
291.3,3.1,14.92,0.88,42.15,41.58,44.88,3.63,0
345.5,2.82,12.01,1.91,50.17,41.35,42.93,2.23,0
296.46,2.04,13.35,7.12,37.77,50.82,46.82,0.61,1
181.63,2.53,9.88,3.93,63.7,76.89,30.41,1.22,0
228.21,1.69,10.45,1.91,53.41,49.78,36.43,1.33,0
307.01,2.91,12.88,4.03,64.31,68.36,42.5,1.38,0
218.15,2.34,16.73,0.4,39.71,83.41,30.34,3.55,0
269.97,2.24,15.57,1.79,72.06,62.53,44.33,1.84,0
284.86,2.48,13.46,0.4,70.57,48.53,20.84,3.76,0
208.29,2.52,12.38,2.26,36.11,58.66,48.12,1.8,0
247.32,3.04,15.5,3.32,48.93,59.35,38.5,1.66,0
104.14,2.85,13.99,1.29,50.23,85.91,46.94,2.81,0
203.9,2.41,6.27,1.24,37.75,34.01,49.97,2.42,0
238.63,2.96,9.37,1.95,51.88,76.73,54.1,2.31,0
193.85,2.74,12.85,1.38,61.7,33.85,42.69,2.6,0
323.46,2.24,7.53,1.56,49.37,72.17,22.67,2.0,0
185.64,2.43,9.76,4.32,34.45,53.86,22.39,1.09,0
230.2,2.41,10.25,3.44,64.27,87.39,27.35,1.28,0
255.88,2.8,11.36,2.62,45.5,70.11,47.2,1.81,0
314.86,2.28,11.28,0.49,46.76,68.6,25.91,3.28,0
185.39,2.27,11.28,2.97,75.18,45.87,37.66,1.34,0
302.34,3.68,14.06,1.89,59.76,87.08,35.78,2.93,0
250.46,3.06,11.34,1.4,45.29,102.23,43.61,2.89,0
205.83,2.04,11.04,1.57,40.73,90.17,47.15,1.81,0
270.79,2.84,8.63,4.92,66.59,44.95,40.95,1.15,0
258.96,2.57,14.56,3.83,65.76,57.15,48.02,1.26,0
222.99,2.73,10.32,1.55,48.92,42.17,28.99,2.45,0
253.14,2.58,9.28,5.68,39.89,50.86,50.21,0.93,0
232.66,3.21,12.53,3.64,59.63,64.25,41.31,1.64,0
255.11,2.71,10.08,1.07,62.13,70.94,47.6,2.92,0
279.8,2.46,10.69,1.04,50.53,68.0,34.83,2.68,0
321.37,3.13,12.65,2.23,41.76,34.19,19.49,2.24,0
194.3,2.64,11.18,0.87,55.3,59.45,46.66,3.12,0
345.99,2.57,17.78,6.14,60.54,67.76,38.57,0.87,0
162.16,2.69,11.81,2.28,49.15,74.23,52.02,1.9,0
243.17,2.44,13.54,0.92,58.14,66.42,44.22,2.81,0
276.47,2.51,7.15,5.17,59.33,67.33,69.52,0.98,0
262.64,2.15,9.85,0.4,68.75,56.43,52.71,3.25,0
221.98,2.05,9.28,2.29,49.95,64.08,37.51,1.45,0
240.63,1.9,9.61,1.83,41.33,98.77,24.15,1.54,0
227.81,1.66,13.04,0.59,54.19,78.1,31.29,2.26,0
223.48,1.97,14.59,5.47,75.25,65.47,30.62,0.73,0
288.23,2.4,12.86,1.33,33.84,70.93,34.79,2.32,0
266.07,2.56,11.43,1.2,27.24,61.14,38.75,2.62,0
218.82,2.34,10.42,3.47,53.7,61.06,43.18,1.24,0
290.48,1.09,14.78,2.22,50.45,74.26,53.74,0.78,0
263.83,3.44,17.18,0.95,52.5,51.02,31.29,3.92,0
286.58,3.15,12.34,1.32,52.05,58.06,26.11,3.06,0
278.33,2.77,14.35,4.99,67.07,39.45,48.31,1.11,0
212.7,3.64,12.86,1.67,54.49,71.64,53.32,3.13,0
224.79,1.91,13.89,7.01,64.84,76.04,35.1,0.58,0
283.63,3.63,9.09,0.85,25.27,69.05,50.41,4.0,0
277.47,1.92,10.78,1.49,48.65,56.49,47.7,1.75,0
249.06,2.64,12.99,1.1,45.22,59.34,22.92,2.81,0
255.28,1.74,15.03,3.28,27.58,62.2,33.63,0.96,0
307.49,2.51,9.95,7.24,56.24,76.42,35.23,0.74,1
223.38,2.73,6.92,2.11,53.8,75.55,59.89,2.04,0
274.62,2.41,10.75,2.4,49.4,38.48,45.09,1.65,0
240.9,2.93,14.53,1.43,53.49,46.83,34.97,2.73,0
240.2,2.56,8.04,0.54,56.24,66.52,33.03,3.58,0
299.44,2.19,9.06,1.67,67.16,39.92,24.3,1.87,0
287.14,2.16,12.39,2.79,62.71,73.78,50.66,1.34,0
286.61,2.99,11.71,1.27,58.94,55.87,43.96,2.97,0
308.75,2.11,13.49,0.6,82.69,70.61,46.19,2.85,0
250.95,3.05,8.93,0.4,46.5,60.51,27.14,4.0,0
280.69,3.23,11.19,5.67,38.68,58.52,47.36,1.17,0
236.04,1.5,14.99,1.41,69.09,43.69,37.62,1.41,0
264.59,3.18,9.02,2.7,77.4,51.79,32.73,2.01,0
244.14,3.74,15.69,4.15,47.38,58.27,45.13,1.73,0
254.36,2.65,9.33,4.75,71.53,57.77,28.0,1.1,0
276.78,2.86,14.12,1.24,48.6,70.86,41.79,2.87,0
213.18,3.12,11.07,2.61,62.02,50.36,37.35,2.02,0
344.16,2.33,9.14,2.83,62.68,59.56,50.73,1.43,0
204.73,2.61,10.76,3.75,47.43,82.57,48.92,1.31,0
195.36,1.71,13.36,2.81,77.16,72.32,40.91,1.05,0
302.11,2.58,11.98,2.4,78.54,61.57,42.81,1.77,0
285.62,2.8,14.8,0.87,42.75,38.13,45.99,3.31,0
278.09,2.81,15.59,3.22,57.41,39.39,39.91,1.57,0
278.28,3.14,9.04,1.95,65.97,69.56,31.82,2.45,0
249.45,2.04,8.86,5.21,32.41,71.1,35.17,0.79,0
209.62,2.18,8.74,3.24,55.31,30.82,27.79,1.21,0
253.41,3.64,9.75,0.4,35.16,70.5,49.25,4.0,0
219.53,2.41,14.76,0.81,63.01,51.57,43.98,2.92,0
293.88,2.62,13.4,1.44,56.03,53.92,35.77,2.44,0
243.38,2.46,10.64,1.91,50.51,73.33,32.75,1.95,0
212.85,2.01,11.97,7.81,36.2,70.99,42.36,0.55,1
235.54,3.47,15.51,3.51,47.82,58.52,25.87,1.83,0
268.58,2.18,16.77,1.1,61.23,70.32,29.31,2.32,0
224.63,1.82,12.65,3.58,54.51,54.55,39.8,0.94,0
213.0,2.23,5.35,2.32,69.31,48.15,64.41,1.56,0
260.97,1.3,12.74,3.6,68.53,78.9,44.52,0.67,0
261.02,2.11,14.34,1.55,68.02,79.89,41.85,1.88,0
227.19,1.92,12.56,8.28,48.55,50.35,28.29,0.5,1
228.8,2.87,13.82,5.66,58.54,51.99,30.67,1.04,0
260.44,2.1,12.89,3.15,43.42,73.37,53.56,1.19,0
184.84,3.03,8.91,1.4,39.88,49.6,35.38,2.86,0
186.66,3.34,9.78,3.6,69.18,72.01,40.71,1.72,0
217.67,2.97,11.2,0.54,40.76,44.63,45.92,4.0,0
240.39,2.37,14.66,5.94,39.47,55.7,35.8,0.82,0
263.99,2.58,10.09,5.09,56.26,74.68,34.92,1.02,0
316.39,1.59,13.14,2.89,51.75,45.46,22.75,0.96,0
288.59,2.42,12.76,0.89,52.79,51.18,27.84,2.82,0
242.8,1.98,15.97,1.54,82.67,65.64,45.87,1.78,0
249.14,2.92,11.9,0.4,43.07,33.03,35.61,4.0,0
204.89,4.04,7.61,1.72,60.94,61.09,46.68,3.4,0
249.17,2.8,13.62,0.82,56.04,77.42,24.15,3.39,0
237.01,1.31,17.35,0.4,67.11,72.97,48.11,1.98,0
264.52,2.28,13.78,1.4,45.57,59.26,39.6,2.15,0
212.77,2.57,10.03,1.5,52.31,60.31,25.29,2.34,0
273.37,2.55,9.3,0.64,56.37,82.38,51.29,3.38,0
318.97,2.06,9.62,2.53,37.79,80.56,25.93,1.36,0
245.11,2.65,17.01,4.01,33.33,58.58,50.77,1.26,0
268.08,1.75,11.18,2.64,54.75,50.56,39.68,1.13,0
281.06,1.93,10.34,1.91,71.05,72.86,31.06,1.53,0
231.95,2.89,11.6,2.03,50.77,76.96,58.48,2.2,0
260.08,1.89,11.21,1.62,52.42,80.68,44.05,1.65,0
250.57,2.82,15.92,1.39,68.81,68.75,52.15,2.67,0
254.4,1.68,9.46,2.6,53.21,54.66,44.33,1.09,0
215.21,3.56,14.95,2.71,64.32,34.95,37.84,2.25,0
251.1,2.04,12.31,2.05,87.0,89.07,31.29,1.54,1
272.41,2.37,15.02,1.43,48.08,84.04,38.19,2.21,0
315.3,2.7,15.96,0.88,52.88,48.5,41.63,3.17,0
293.17,2.16,12.21,0.43,59.75,62.86,48.17,3.21,0
346.89,2.59,11.21,0.88,72.9,56.69,36.07,3.03,0
215.47,2.85,12.17,1.42,53.62,60.99,45.14,2.66,0
289.25,3.08,11.76,1.53,63.75,53.99,56.78,2.76,0
258.25,2.97,7.86,9.48,59.17,70.37,41.58,0.69,1
348.54,2.4,15.88,3.73,54.13,42.99,20.41,1.2,0
213.63,2.41,12.61,2.61,49.95,54.09,40.49,1.56,0
212.21,3.91,9.09,3.15,47.69,73.1,39.05,2.22,0
223.03,3.07,6.83,8.17,91.79,30.4,38.74,0.81,1
154.42,1.95,6.18,1.12,36.51,64.63,24.04,2.05,0
226.34,2.56,13.93,6.13,37.64,51.78,42.76,0.87,0
215.84,2.3,10.45,0.4,57.94,84.23,34.68,3.48,0
256.77,2.42,10.86,1.7,57.44,64.94,38.94,2.05,0
265.38,1.76,13.22,0.77,60.12,48.19,49.48,2.18,0
334.43,2.25,10.71,0.4,44.51,81.78,31.88,3.41,0
292.77,3.59,13.37,5.08,42.68,60.33,38.98,1.42,0
224.04,2.85,12.24,1.68,51.57,61.97,37.98,2.43,0
209.57,1.01,11.79,1.45,65.89,73.31,38.34,0.93,0
272.14,3.23,8.07,1.7,42.79,50.91,35.56,2.74,0
190.59,3.15,9.95,2.23,56.81,81.71,36.1,2.26,0
332.42,2.28,13.51,0.99,48.85,68.66,56.75,2.55,0
303.07,2.93,10.29,0.4,36.71,50.38,35.77,4.0,0
228.89,1.98,15.01,1.92,39.62,53.51,42.71,1.56,0
172.91,2.22,17.87,2.25,65.92,41.15,41.05,1.59,0
310.92,3.4,13.64,5.36,47.75,64.62,40.73,1.29,0
244.85,2.34,15.73,1.86,69.93,57.33,44.8,1.88,0
305.7,1.38,13.8,2.14,54.55,64.69,33.67,1.02,0
178.25,2.46,10.66,0.82,38.59,34.47,54.01,2.97,0
223.03,2.45,12.5,0.83,60.73,52.14,30.8,2.95,0
250.24,3.22,17.03,2.63,45.38,45.27,38.35,2.08,0
252.11,2.51,10.69,3.42,50.48,67.39,28.13,1.34,0
229.75,2.25,9.4,4.22,68.59,50.97,48.97,1.03,0
278.03,3.13,9.16,2.51,39.52,67.06,30.79,2.08,0
201.96,2.57,11.46,0.98,49.6,52.0,47.56,2.88,0
