Belt_Speed,Belt_Tension,Motor_Current,Roller_Bearing_Temperature,Idler_Vibration,Belt_Slip_Percentage,Load_Weight,Ambient_Temperature,Conveyor_Failure
2.01,22.63,49.5,51.2,0.37,3.51,607.5,31.7,0
2.13,23.07,39.7,57.0,3.05,0.55,324.3,35.3,0
1.76,25.99,37.5,49.5,2.4,2.16,366.9,43.4,0
1.72,30.02,50.6,54.2,0.3,1.77,452.9,15.3,0
2.53,15.86,27.7,52.2,3.88,1.07,539.1,37.1,0
2.74,21.76,27.5,50.5,0.86,0.55,530.2,29.0,0
2.17,20.76,51.3,59.1,2.81,0.64,886.7,22.5,0
2.6,23.95,49.9,49.6,2.25,0.44,161.1,18.5,0
2.34,22.97,46.4,70.9,3.31,0.67,666.5,30.1,0
1.94,20.41,36.2,57.6,1.48,5.48,658.8,28.3,0
2.34,20.02,52.4,36.6,4.12,0.54,362.7,20.4,0
2.82,16.98,51.8,46.2,3.22,1.31,429.2,27.8,0
2.19,26.45,45.9,52.0,0.3,0.46,764.2,35.3,0
2.83,24.07,33.2,48.4,1.56,0.75,406.7,38.9,0
1.15,26.13,40.7,54.9,3.71,0.1,409.2,28.9,0
2.53,20.6,53.4,56.0,0.69,1.73,518.0,28.9,0
2.23,19.04,58.3,34.4,1.97,1.3,576.9,32.4,0
2.08,17.15,41.7,60.8,1.08,0.51,649.6,36.2,0
2.24,23.62,42.5,43.0,2.03,0.89,656.1,29.3,0
1.4,17.32,43.4,42.0,1.66,2.47,617.3,30.5,0
2.11,30.32,47.7,42.0,0.55,0.05,213.8,25.2,0
2.34,16.12,39.2,56.1,2.62,3.19,493.8,26.9,0
2.79,23.23,16.1,45.3,0.3,0.76,599.7,23.5,0
1.99,29.05,56.9,41.4,0.65,2.36,602.7,20.8,0
1.88,24.7,62.9,43.8,1.54,2.37,393.5,19.6,0
2.0,22.79,38.9,30.1,3.34,0.07,346.6,22.0,0
2.57,17.64,34.3,39.6,1.91,1.83,336.3,21.5,0
2.33,15.78,43.6,35.6,0.3,1.58,569.8,30.1,0
1.99,25.47,43.1,45.3,1.65,0.05,651.1,31.1,0
2.41,28.78,55.0,54.6,0.3,3.39,521.3,25.1,0
2.24,20.03,45.5,53.5,1.05,1.21,339.5,22.1,0
2.59,16.87,37.1,60.6,1.25,0.22,526.9,43.1,0
1.92,10.94,31.8,58.3,1.41,0.16,357.2,24.9,0
2.07,17.59,53.7,42.7,3.43,0.99,389.5,23.8,0
2.04,21.49,51.0,48.2,2.64,0.07,444.7,17.0,0
1.61,29.2,55.6,47.7,3.6,0.22,380.2,31.6,0
2.32,25.03,35.3,26.5,3.36,3.56,330.5,40.7,0
2.3,23.37,63.4,35.8,2.04,1.64,732.4,26.7,0
2.2,20.2,27.6,46.3,0.34,1.14,216.8,25.6,0
2.11,19.38,52.1,46.3,1.78,0.28,411.3,29.9,0
1.63,28.33,25.9,53.1,3.36,0.3,467.6,30.2,0
2.03,22.9,37.1,52.6,0.81,0.71,684.2,10.5,0
2.06,12.54,60.6,30.3,0.85,1.68,544.2,32.5,0
1.88,18.97,53.3,53.2,0.81,0.0,457.8,41.1,0
2.14,18.14,39.5,49.8,1.76,0.05,388.8,28.4,0
2.36,19.54,39.8,54.2,1.92,2.45,672.1,27.2,0
2.95,24.53,46.0,58.7,2.61,2.02,379.0,33.6,0
2.27,21.52,50.1,46.6,3.36,1.42,531.7,32.7,0
2.3,21.65,57.5,60.5,3.25,0.83,474.6,29.2,0
2.17,27.91,40.4,39.1,0.8,0.19,572.0,33.4,0
1.43,18.87,28.9,38.5,2.09,0.13,735.7,33.7,0
2.19,30.39,46.6,52.3,0.77,2.83,605.8,19.8,0
2.22,18.98,40.4,44.3,3.89,0.58,480.7,20.0,0
3.19,22.4,32.0,50.6,2.1,1.43,751.4,19.0,0
2.12,20.73,48.0,67.9,1.83,0.73,737.0,17.4,0
2.32,22.56,42.9,51.9,5.69,1.58,670.9,33.7,0
2.19,24.0,48.1,50.1,0.3,0.26,542.3,33.7,0
1.73,23.95,36.1,39.3,2.47,0.8,384.3,31.1,0
2.66,18.61,49.9,31.0,1.72,0.57,145.1,39.6,0
2.5,16.95,31.8,47.3,1.45,0.34,531.7,25.8,0
2.52,33.26,36.7,58.7,0.8,1.09,616.1,23.2,0
1.84,19.82,42.6,44.8,1.72,0.92,299.4,28.9,0
2.76,25.15,62.4,52.0,1.78,0.82,562.3,36.0,0
1.64,14.77,52.8,62.3,2.53,1.07,433.2,23.9,0
2.43,20.74,55.8,62.0,1.81,0.18,576.5,41.6,0
3.08,21.43,59.2,52.3,3.41,0.56,407.5,27.5,0
1.8,24.13,81.0,49.7,1.29,0.47,391.1,31.6,0
1.97,9.75,45.4,32.8,5.72,1.76,490.8,29.1,0
2.24,22.75,59.2,41.7,1.54,0.04,323.5,25.2,0
2.0,16.83,55.1,45.2,0.89,0.4,644.2,34.4,0
1.58,23.46,55.0,39.5,0.9,3.01,503.0,5.0,0
2.23,17.34,62.7,50.5,0.3,0.43,328.3,25.6,0
1.78,18.15,40.8,67.1,2.48,0.2,407.7,33.6,0
2.39,20.77,40.0,63.2,1.93,1.7,588.5,17.8,0
1.83,17.26,48.2,50.4,2.43,0.06,454.8,23.1,0
2.82,19.86,43.2,55.8,0.33,0.67,606.5,24.5,0
1.89,16.63,48.2,40.7,4.46,2.32,350.7,25.7,0
2.07,13.75,60.6,62.6,2.62,3.7,458.0,23.8,0
2.53,26.58,40.2,32.4,0.57,0.34,489.2,20.9,0
1.71,16.17,42.0,57.1,0.42,0.42,834.0,27.5,0
2.29,21.2,46.7,53.0,1.1,1.01,390.8,33.6,0
2.72,25.39,42.7,40.4,3.71,0.31,594.0,30.7,0
1.56,19.23,25.9,45.9,4.22,0.2,570.7,35.2,0
2.27,18.29,39.2,36.7,2.41,0.67,762.2,26.6,0
2.3,23.02,51.9,37.1,0.94,0.09,703.9,36.8,0
2.51,27.03,59.4,32.1,0.71,2.7,430.6,19.1,0
1.71,16.74,33.5,55.7,1.56,0.49,342.6,37.2,0
1.67,21.32,33.4,60.1,0.91,0.49,287.6,35.6,0
2.41,14.2,45.3,26.4,3.63,1.88,535.4,17.0,0
2.32,20.23,24.2,66.4,2.54,0.5,652.1,31.3,0
2.3,22.15,40.6,47.9,1.04,1.72,671.6,27.1,0
2.34,18.15,27.6,50.9,0.3,0.24,460.8,27.3,0
1.93,19.94,58.7,33.3,0.76,0.9,506.7,28.5,0
2.29,15.66,37.3,61.2,1.54,1.76,713.9,23.7,0
2.32,22.35,61.5,50.0,1.33,0.72,385.5,34.6,0
1.91,26.75,56.1,59.4,0.45,0.09,128.7,28.0,0
2.95,17.06,38.5,60.2,2.93,1.6,673.0,20.1,0
2.39,19.2,34.3,61.3,1.29,0.82,325.9,27.7,0
1.72,24.26,43.1,41.5,1.12,0.46,456.4,24.7,0
2.46,27.45,44.0,45.9,2.58,5.92,568.5,32.3,0
1.81,15.28,48.5,41.9,1.61,2.51,430.7,18.8,0
2.51,21.24,37.2,57.0,1.71,0.05,662.1,42.0,0
2.66,23.27,52.5,51.3,2.2,1.08,900.7,28.8,0
1.87,21.54,47.7,58.7,3.74,0.53,378.9,19.3,0
2.59,10.85,41.6,59.1,2.67,0.05,520.1,26.6,0
2.37,24.25,37.9,30.7,0.58,0.01,500.7,24.6,0
2.53,28.84,43.2,61.5,7.68,1.05,546.9,22.4,0
2.96,22.52,36.8,57.5,1.63,0.46,409.5,31.0,0
2.1,17.36,45.6,44.3,0.3,1.46,402.5,43.6,0
1.9,19.69,45.9,51.5,0.81,0.73,406.0,41.1,0
1.84,29.96,47.6,46.8,0.81,1.75,430.8,29.4,0
1.87,26.09,62.7,54.2,3.87,2.01,433.2,22.5,0
2.17,24.88,43.7,44.3,1.9,1.28,124.2,30.0,0
2.34,23.6,55.0,52.8,1.8,0.65,513.3,33.2,0
2.31,19.02,47.3,48.7,1.96,5.36,454.8,29.4,0
2.53,21.1,42.6,43.7,2.45,0.44,392.2,33.2,0
2.21,21.65,43.8,49.9,2.32,0.87,514.0,31.1,0
2.78,24.47,44.4,75.1,0.77,0.88,499.2,30.0,0
2.09,28.79,47.8,41.1,4.62,0.67,440.3,19.5,0
3.29,27.03,35.4,45.5,0.3,0.16,501.3,27.1,0
2.45,15.61,30.3,41.3,4.01,0.52,412.7,41.4,0
1.86,23.01,51.5,42.4,0.3,0.29,324.7,31.4,0
1.77,25.32,54.0,56.2,0.85,2.76,794.2,36.2,0
2.39,24.78,52.5,55.2,1.7,1.28,425.6,42.1,0
2.11,19.17,46.5,47.9,1.41,0.41,539.8,19.7,0
2.49,35.11,52.7,58.3,0.73,1.0,889.5,46.2,0
2.39,16.25,52.1,55.9,2.44,2.3,437.9,34.8,0
2.17,17.13,52.9,46.4,1.25,3.27,569.0,36.1,0
1.86,23.05,36.4,32.7,2.78,0.09,849.0,23.3,0
1.59,31.53,34.0,56.3,0.98,1.86,252.5,33.1,0
2.02,18.24,41.1,49.7,0.89,4.07,700.1,22.4,0
2.54,20.8,44.8,48.2,1.91,0.76,533.3,29.0,0
2.29,26.85,42.6,43.3,3.13,6.49,424.2,30.4,1
1.7,21.92,26.2,55.4,2.85,3.78,507.3,26.3,0
2.27,20.49,62.2,51.5,0.46,1.28,445.7,36.1,0
2.35,24.55,42.3,45.6,1.56,2.26,736.4,24.4,0
1.85,23.23,46.7,35.7,3.07,0.42,497.6,13.9,0
2.26,26.64,57.4,58.7,1.3,2.99,604.7,26.3,0
2.22,27.81,21.6,54.0,3.27,1.08,420.7,36.8,0
1.74,23.38,39.9,50.6,4.03,0.86,543.9,45.2,0
2.34,23.31,41.1,21.4,3.62,2.17,442.6,37.2,0
2.42,22.96,41.6,47.6,2.9,2.64,287.0,35.5,0
2.63,24.2,43.3,45.6,1.42,1.45,696.3,25.3,0
2.62,22.25,59.5,41.8,1.45,0.03,552.2,44.1,0
1.65,22.0,51.7,55.5,0.98,1.09,615.7,32.8,0
1.82,27.38,54.6,55.1,1.97,2.07,390.7,33.1,0
2.41,28.82,45.5,52.4,2.49,0.95,677.7,32.4,0
2.41,15.22,31.0,58.4,2.87,3.28,570.2,19.9,0
2.41,22.05,24.2,37.8,1.77,2.73,522.5,30.7,0
3.74,18.9,29.7,43.5,1.45,0.91,654.4,17.8,0
2.43,20.6,48.6,48.7,1.74,0.62,450.6,33.8,0
2.65,23.81,45.3,41.8,0.71,0.07,694.2,30.4,0
2.58,25.01,42.9,55.3,2.94,1.2,400.7,23.6,0
2.46,21.5,41.3,42.8,2.86,0.37,505.0,35.9,0
2.07,13.39,65.1,61.0,0.75,1.32,359.5,25.5,0
2.5,17.66,36.8,38.7,2.28,1.92,327.8,25.7,0
1.89,26.03,54.3,69.3,0.49,0.63,430.1,31.7,0
2.11,9.67,45.0,68.3,3.52,0.02,475.9,27.9,0
2.01,27.34,44.4,47.1,5.64,2.41,582.8,29.6,0
2.23,24.35,56.8,59.5,2.39,0.96,403.5,35.2,0
3.13,27.92,59.6,44.0,2.51,0.45,588.0,22.8,0
1.45,21.11,42.6,58.1,1.27,1.21,452.0,22.2,0
2.47,12.72,53.0,46.2,1.44,1.35,425.9,26.4,0
1.55,23.94,48.6,35.1,4.09,0.19,594.4,27.6,0
2.01,27.74,45.1,20.0,1.47,1.25,418.3,32.5,0
2.64,26.16,47.0,45.3,1.59,0.41,773.8,41.6,0
2.23,19.02,38.1,50.8,1.89,1.95,564.8,27.7,0
1.77,22.39,41.9,61.3,1.91,3.41,294.9,28.3,0
1.91,19.6,39.2,48.4,4.63,0.13,482.1,23.4,0
2.47,18.31,54.0,58.0,3.46,2.99,402.9,22.6,0
1.91,26.3,44.0,43.5,4.31,2.81,253.8,32.7,0
2.29,16.61,32.0,44.6,5.71,0.5,658.7,28.3,0
2.22,17.98,37.8,58.5,2.92,0.04,662.1,36.7,0
1.94,17.03,13.0,23.4,0.8,1.31,391.3,36.0,0
3.06,15.29,40.1,48.1,1.01,0.51,606.6,34.1,0
2.45,22.66,45.4,44.0,2.11,0.26,631.5,17.8,0
1.39,27.23,43.6,61.6,0.3,0.14,498.1,32.8,0
2.27,21.17,64.8,42.7,1.48,0.26,642.8,21.5,0
1.94,15.22,50.7,53.2,2.95,0.33,544.2,14.8,0
2.54,25.78,50.3,57.2,2.01,1.91,671.8,29.5,0
1.88,29.59,28.6,33.1,1.31,1.84,324.1,37.5,0
2.15,19.09,41.4,46.6,3.12,0.82,522.2,33.0,0
2.4,19.85,40.1,43.7,0.86,0.97,530.2,21.8,0
2.55,24.32,37.1,57.5,3.57,3.0,326.5,47.6,0
1.72,29.3,37.0,54.8,2.44,2.86,340.9,33.7,0
2.07,19.66,26.9,45.7,2.58,2.12,262.4,22.1,0
2.01,16.0,32.2,37.5,1.29,0.56,506.8,13.7,0
1.94,24.84,53.7,58.4,2.98,0.55,433.9,26.6,0
2.91,25.6,43.6,47.3,2.14,2.63,306.4,14.3,0
2.36,22.03,39.9,31.8,3.29,3.13,682.6,20.8,0
1.7,19.49,44.9,32.7,6.21,1.92,560.0,16.1,0
2.57,26.47,56.7,52.4,0.83,1.7,391.3,22.7,0
3.05,24.38,45.0,35.2,5.75,0.98,530.5,24.3,0
2.61,18.54,50.4,66.6,2.75,0.5,464.3,21.9,0
1.59,22.22,36.5,38.6,3.16,0.33,265.6,44.1,0
2.01,15.92,38.8,48.0,4.34,0.18,541.1,26.7,0
2.71,25.09,48.5,49.6,5.06,1.56,746.0,37.3,0
1.92,20.82,63.9,40.7,0.3,1.8,711.8,32.0,0
2.38,20.04,59.3,25.6,1.45,0.53,515.5,26.6,0
2.51,21.85,50.8,49.9,4.65,0.01,434.6,24.7,0
1.83,22.18,46.5,40.5,0.97,3.35,584.4,37.5,0
2.18,26.03,59.0,49.2,2.06,0.69,540.0,20.7,0
0.9,24.66,52.9,46.8,1.5,4.41,479.2,23.6,0
1.79,21.3,22.1,50.6,0.92,1.36,779.0,23.5,0
2.1,25.44,34.5,63.6,0.9,0.16,440.6,28.5,0
1.7,23.8,48.4,42.5,3.37,0.48,643.6,21.6,0
2.85,20.08,27.1,43.3,2.09,1.28,521.6,34.6,0
1.63,21.44,36.0,31.3,0.61,1.26,522.3,35.5,0
2.02,21.33,38.0,46.0,1.28,0.32,252.4,23.0,0
2.25,24.27,42.4,52.1,0.88,0.23,665.2,31.7,0
2.78,20.35,42.1,43.2,0.74,0.39,625.5,22.1,0
1.63,20.24,42.1,52.2,3.03,1.86,528.2,29.3,0
2.67,30.86,53.3,46.2,1.98,0.33,655.2,36.2,0
2.2,26.23,42.3,35.0,1.74,1.45,562.3,28.7,0
1.81,18.58,41.2,51.1,0.3,2.45,305.4,27.3,0
2.38,24.57,31.5,45.9,4.16,0.6,354.4,44.0,0
2.28,22.53,55.2,49.2,0.47,0.01,490.9,30.5,0
1.96,23.76,38.3,42.3,1.93,0.18,246.3,22.1,0
2.23,22.62,34.1,41.4,2.2,0.45,668.4,21.6,0
2.05,27.35,47.1,49.6,1.31,0.25,467.7,44.0,0
2.25,23.56,37.3,45.7,2.25,0.41,520.5,22.8,0
2.46,21.72,39.7,65.2,3.55,0.94,352.8,23.1,0
2.83,26.69,47.6,56.0,2.05,0.03,597.0,28.2,0
1.7,23.05,41.7,53.5,1.02,0.08,478.6,33.1,0
3.05,22.55,68.1,46.2,0.66,2.32,451.1,19.3,0
1.42,23.41,44.3,27.7,0.55,0.89,711.6,26.1,0
2.14,21.58,51.2,39.9,3.52,3.29,696.4,18.6,0
2.44,22.04,25.6,41.5,2.5,0.0,612.5,26.9,0
2.31,19.36,36.4,45.3,2.87,0.0,531.4,33.8,0
1.95,18.62,34.1,47.7,0.68,1.61,422.6,26.2,0
2.12,17.51,35.5,54.6,1.59,0.78,456.7,41.8,0
2.0,15.74,49.2,50.7,0.3,2.94,449.8,22.1,0
1.96,18.04,55.4,59.6,1.76,1.85,558.8,29.5,0
2.54,21.22,48.4,44.9,2.78,0.84,495.2,37.2,0
2.34,22.46,42.7,50.6,1.44,0.78,499.0,35.1,0
1.92,20.78,38.7,51.4,3.7,2.0,731.1,46.5,0
2.56,11.4,56.1,50.5,0.44,1.95,671.6,30.3,0
2.32,29.09,65.7,60.8,1.95,0.39,382.8,21.7,0
2.53,26.89,46.4,56.0,1.02,1.35,544.5,28.6,0
2.45,24.01,54.4,34.8,1.45,1.24,383.6,22.1,0
1.87,30.58,48.4,46.9,1.54,2.33,590.4,28.8,0
1.98,17.6,52.6,47.9,1.74,2.44,789.4,36.6,0
2.5,30.49,33.4,69.5,1.83,0.37,446.6,32.9,0
2.44,17.66,40.1,44.7,0.99,2.54,618.6,27.3,0
2.19,23.07,49.0,38.2,0.3,3.1,742.0,23.2,0
2.25,16.27,57.1,52.4,1.92,0.14,479.6,30.3,0
2.71,22.07,36.8,53.0,1.44,1.02,574.1,31.7,0
1.96,23.74,24.7,47.3,0.65,0.69,757.2,19.2,0
2.42,21.3,40.0,45.8,1.4,0.62,359.6,20.9,0
2.12,25.21,55.1,57.5,2.16,1.46,344.5,26.0,0
2.11,22.45,29.2,39.5,0.55,0.17,313.4,18.7,0
2.64,19.65,33.2,44.6,3.98,2.06,613.2,15.3,0
2.53,19.45,46.6,42.8,1.12,0.03,348.0,20.8,0
2.53,25.65,43.8,58.9,0.97,1.04,584.0,30.7,0
2.72,19.06,50.9,50.9,3.44,0.31,703.9,28.7,0
2.21,26.12,32.7,37.4,4.04,1.32,400.7,24.9,0
2.47,27.5,41.8,38.4,2.28,0.89,385.7,21.4,0
2.08,14.49,57.0,66.7,1.38,9.96,600.5,30.6,1
2.33,27.1,33.1,58.8,2.02,2.38,507.2,30.2,0
2.15,31.27,59.8,56.4,2.94,0.49,145.6,36.7,0
2.24,23.13,34.3,48.1,4.52,0.9,729.8,10.4,0
2.44,24.7,53.5,63.1,0.99,0.46,582.8,15.8,0
1.87,26.67,41.3,37.0,1.0,1.57,442.9,34.6,0
3.04,20.76,33.6,55.5,1.99,0.66,436.9,31.3,0
1.8,22.82,40.0,43.6,1.48,0.15,605.0,34.5,0
1.71,16.09,50.4,45.5,0.37,1.3,493.3,21.8,0
2.66,22.62,44.9,55.3,1.03,0.01,508.6,25.3,0
2.52,24.24,56.2,46.6,0.79,0.42,522.6,19.1,0
2.45,24.32,59.4,43.7,6.32,2.85,377.1,11.7,0
2.45,26.79,33.2,43.0,1.97,0.12,445.9,29.0,0
2.2,18.51,32.4,28.1,0.95,0.84,471.8,37.9,0
1.84,19.6,32.0,55.6,2.03,1.9,385.9,26.8,0
2.23,30.53,36.0,37.9,2.31,2.82,541.2,23.0,0
1.93,21.32,56.0,66.6,2.02,0.98,572.6,20.2,0
2.59,22.9,50.6,45.1,1.54,0.2,753.0,35.8,0
2.14,21.7,39.5,61.1,1.61,3.39,385.9,28.6,0
1.87,18.3,44.9,29.9,2.66,1.66,633.6,28.8,0
2.07,29.31,59.0,55.3,2.08,0.6,713.7,17.9,0
2.37,19.63,64.1,57.9,1.93,0.39,642.4,21.6,0
1.97,16.93,47.6,61.0,1.68,0.06,425.3,33.1,0
1.87,19.97,18.4,32.7,1.38,0.25,453.6,24.3,0
2.3,12.99,48.0,41.0,2.35,1.8,727.7,23.4,0
2.3,19.07,54.3,53.8,1.88,0.14,472.0,45.6,0
2.0,17.64,47.2,49.5,1.89,0.17,495.5,28.5,0
2.01,24.78,52.3,50.9,5.37,0.26,427.0,26.8,0
2.29,18.97,48.6,44.4,0.69,0.6,616.1,27.0,0
1.62,26.0,32.7,63.5,1.1,0.25,130.9,23.3,0
1.64,28.29,36.1,74.1,8.45,2.82,378.5,27.5,0
1.91,25.52,41.8,49.0,1.39,0.36,353.0,41.6,0
2.11,21.03,55.7,52.5,1.75,3.02,738.3,30.9,0
2.32,22.64,37.3,48.6,1.5,5.04,534.8,16.8,0
2.79,15.14,49.6,60.8,2.28,1.69,469.7,24.9,0
2.54,21.4,48.0,56.3,1.2,0.01,469.4,28.7,0
2.14,18.13,60.9,37.3,0.3,0.33,292.8,17.5,0
2.19,25.12,44.6,41.9,3.57,0.37,703.4,24.7,0
1.8,33.58,27.5,37.9,0.3,0.94,447.3,21.3,0
2.19,24.25,51.5,74.9,6.26,0.21,589.0,25.2,0
2.08,13.04,66.4,54.4,2.6,0.1,401.5,28.5,0
2.33,20.37,52.1,42.0,0.87,0.23,491.0,32.9,0
1.87,22.55,37.1,41.2,0.91,0.48,362.2,19.9,0
2.41,22.39,34.2,56.1,0.3,0.06,462.8,27.4,0
2.81,18.71,35.5,57.0,0.78,0.26,656.1,25.7,0
2.16,23.1,65.0,56.0,0.88,0.22,515.9,26.5,0
2.36,16.41,41.7,43.7,2.96,1.78,556.1,22.3,0
2.48,17.75,38.4,51.1,2.04,0.22,509.4,27.7,0
2.04,24.91,43.4,49.1,0.3,1.88,744.7,31.5,0
2.29,17.43,41.8,38.6,0.3,0.85,377.5,18.3,0
2.21,24.42,60.7,38.7,0.67,1.7,479.3,40.1,0
2.24,15.84,34.9,52.1,0.72,0.72,528.2,34.6,0
1.89,29.94,56.8,50.0,4.38,2.78,350.6,17.0,0
2.21,18.52,46.2,53.5,0.82,0.39,519.0,38.1,0
2.4,20.99,57.1,55.9,4.9,1.75,504.4,38.6,0
2.78,23.49,60.8,63.0,2.19,0.21,517.1,24.5,0
2.58,19.46,45.8,40.2,2.67,2.57,517.7,29.4,0
3.06,22.65,41.8,54.3,1.62,0.03,399.3,28.6,0
1.89,24.59,45.7,55.5,0.75,0.73,256.3,18.4,0
2.55,26.32,44.1,44.9,1.0,0.66,527.5,35.2,0
2.27,25.56,28.4,49.2,4.85,1.17,366.0,14.8,0
3.08,21.23,60.5,45.1,2.61,0.7,486.1,30.0,0
1.88,21.34,47.5,69.1,2.53,1.07,387.7,39.0,0
1.86,32.57,33.4,49.0,3.47,2.37,277.9,16.2,0
1.96,26.27,24.3,52.5,2.6,0.18,554.1,25.9,0
1.35,17.85,21.7,45.4,0.68,0.34,605.1,36.0,0
1.99,22.45,52.7,43.2,0.92,1.95,665.5,30.8,0
1.9,20.49,38.8,35.0,1.88,0.31,432.9,33.8,0
2.26,21.39,40.5,59.0,5.74,2.83,506.0,23.2,0
2.34,16.47,49.9,55.7,3.13,0.93,551.1,21.4,0
2.95,20.15,39.8,45.0,1.09,0.1,653.2,26.6,0
2.58,30.15,50.5,39.0,2.39,0.03,237.5,29.9,0
1.97,24.61,46.0,49.8,0.75,1.73,279.7,32.2,0
1.84,10.79,44.2,43.0,1.42,2.33,708.2,31.1,0
2.4,27.48,29.3,45.8,2.7,0.33,247.2,34.9,0
1.67,26.9,36.8,35.4,3.39,0.33,637.6,28.8,0
2.93,20.38,51.0,50.2,0.95,3.7,699.7,20.7,0
2.67,25.23,38.2,50.4,1.19,1.28,620.5,18.5,0
2.01,18.13,57.1,58.9,3.43,0.22,349.5,33.3,0
1.51,19.88,68.5,46.5,1.42,0.71,366.2,35.0,0
2.74,28.74,51.6,44.7,0.93,2.9,491.4,41.8,0
2.15,20.78,59.9,32.4,3.04,1.16,762.7,45.0,0
2.7,13.59,52.2,59.0,2.09,0.63,761.5,34.8,0
1.56,21.72,39.7,56.9,2.13,0.2,544.8,30.6,0
1.96,21.65,47.0,48.3,0.35,1.55,260.8,25.1,0
2.2,27.39,65.1,34.7,0.73,0.39,524.3,21.9,0
2.22,22.06,39.8,35.9,1.77,1.0,468.8,28.5,0
2.02,20.1,34.6,42.5,1.45,1.1,503.4,27.3,0
2.45,26.7,33.7,57.7,2.91,0.97,251.5,41.3,0
