Spindle_Speed,Feed_Rate,Cutting_Force,Tool_Wear_Index,Spindle_Vibration,Axis_Feed_Error,Coolant_Pressure,Motor_Temperature,CNC_Failure
5281.2,828.0,949.1,76.6,1.41,3.09,21.31,50.1,0
5721.5,847.7,733.5,166.1,1.08,4.25,24.66,63.1,0
4340.5,977.1,685.6,127.1,2.17,9.06,22.89,40.5,0
4205.7,1156.3,973.3,61.1,1.42,0.2,19.54,26.3,0
7218.8,527.1,469.3,129.1,1.27,6.22,24.09,47.5,0
8034.4,789.5,464.8,25.9,0.41,1.49,18.1,45.5,0
5892.0,744.7,989.4,89.9,2.05,5.15,20.97,49.2,0
7505.3,886.7,957.3,130.3,1.49,2.41,22.87,37.2,0
6542.5,843.1,880.1,62.5,3.81,4.58,23.12,28.9,0
5032.3,729.5,656.4,161.8,1.96,8.08,13.22,61.2,0
6542.1,711.8,1013.6,21.9,1.02,0.29,16.75,50.9,0
8307.1,576.7,999.7,121.5,1.31,4.78,16.94,61.2,0
5946.3,997.6,868.8,174.4,2.13,4.88,19.1,33.8,0
8347.0,891.8,591.0,108.9,3.42,6.56,22.82,46.4,0
2070.4,983.6,756.4,211.2,0.92,4.18,20.94,52.4,0
7232.9,737.9,1034.3,155.4,3.21,12.61,23.49,54.4,0
6130.6,668.6,1142.0,230.5,2.74,6.96,27.19,58.0,0
5551.5,584.3,778.2,75.3,6.48,5.58,20.08,36.6,1
6137.6,871.8,795.1,225.9,1.09,4.92,20.98,44.4,0
3018.6,592.0,814.4,149.6,1.88,5.48,25.22,51.7,0
5670.5,1169.7,910.5,181.4,1.56,4.34,16.06,46.8,0
6535.7,538.5,722.2,217.5,4.07,4.36,21.9,25.9,0
8216.8,854.7,213.3,136.8,0.53,0.21,20.09,50.7,0
5222.6,1113.4,1112.4,208.3,4.05,5.46,14.13,49.0,0
4787.3,919.8,1244.8,134.6,0.83,5.44,23.9,40.8,0
5247.4,835.1,715.3,147.8,2.56,4.89,25.14,46.8,0
7373.1,606.3,615.3,112.4,2.95,4.95,23.74,26.4,0
6493.1,523.6,819.8,43.5,1.04,5.9,17.02,60.4,0
5205.4,954.0,808.7,137.3,0.78,5.15,28.79,45.6,0
6769.9,1101.2,1069.0,234.8,0.7,4.22,24.03,38.4,0
6145.6,712.2,862.0,191.1,0.67,4.83,22.83,60.9,0
7453.0,572.2,675.6,181.9,3.09,7.08,23.74,30.4,0
4946.9,308.4,559.9,158.0,1.13,7.67,22.35,40.3,0
5508.5,603.8,1040.4,90.0,0.62,1.54,18.96,56.5,0
5411.8,777.3,981.9,49.0,2.98,3.02,21.88,36.4,0
3804.7,1119.8,1083.3,61.6,1.19,6.38,22.65,39.4,0
6444.2,934.6,637.0,11.5,2.54,5.4,20.38,45.8,0
6391.6,861.0,1254.5,164.9,0.76,2.41,17.08,50.5,0
6007.7,720.0,466.4,196.7,1.37,4.16,20.84,45.1,0
5648.1,683.4,1006.1,71.8,0.8,5.97,23.9,47.7,0
3876.9,1081.1,429.9,31.1,0.94,8.8,19.99,46.0,0
5369.0,840.1,676.1,87.2,1.62,9.88,24.47,44.7,0
5485.9,379.5,1193.4,77.2,3.66,0.2,18.87,44.0,0
4796.6,665.3,1032.9,113.7,3.68,6.13,19.9,43.9,0
5758.1,628.4,729.8,70.7,1.25,2.44,13.09,43.0,0
6606.1,690.7,735.9,88.1,2.08,6.88,21.7,27.2,0
8829.3,912.6,872.1,218.7,0.82,0.57,11.83,61.7,0
6261.9,778.5,963.1,87.0,2.52,2.29,20.3,34.1,0
6386.3,784.6,1125.3,190.7,3.72,3.56,21.36,39.9,0
5888.3,1062.7,749.6,153.9,0.7,5.68,20.13,55.8,0
3121.8,660.7,495.4,87.6,1.87,3.07,14.78,62.1,0
5960.2,1172.8,884.5,198.1,0.3,2.18,23.33,54.9,0
6090.3,665.7,749.4,146.9,2.94,0.2,26.36,50.5,0
9694.9,817.8,563.9,12.0,0.51,2.34,28.22,48.0,0
5711.5,743.8,915.5,25.8,0.71,5.69,20.09,42.1,0
6452.3,824.7,803.1,183.1,1.08,7.72,19.09,50.7,0
5947.9,888.9,917.4,112.7,0.58,1.39,15.09,55.0,0
4247.0,886.8,653.2,103.3,1.03,1.63,21.94,54.3,0
7714.2,649.4,957.1,43.5,2.51,2.16,26.12,55.0,0
7127.9,575.4,560.2,46.2,0.51,3.71,19.51,40.4,0
7186.5,1300.6,667.9,193.5,2.64,4.48,23.53,45.3,0
4635.9,703.2,796.6,200.7,0.3,3.23,9.31,28.3,0
8104.2,939.8,1233.2,138.8,1.43,0.2,16.14,57.0,0
3897.2,478.5,1022.7,77.9,0.95,0.2,22.26,44.3,0
6880.3,744.1,1087.0,224.5,4.66,2.77,13.93,29.1,0
9285.7,774.6,1161.8,153.5,0.54,5.33,16.82,47.3,0
4514.2,894.6,1642.6,193.2,2.11,4.02,17.2,55.2,0
5150.6,255.5,859.1,10.8,0.56,8.21,22.19,44.3,0
6149.5,833.2,1162.5,113.6,1.53,0.2,20.6,49.3,0
5244.8,570.1,1072.8,210.3,1.41,4.26,17.82,40.4,0
3674.0,864.9,1069.1,87.8,1.65,7.49,17.95,36.8,0
6102.8,592.7,1240.3,177.1,3.77,3.25,15.84,48.9,0
4406.5,628.9,757.8,161.3,1.46,0.81,20.21,37.5,0
6710.4,745.3,740.3,45.0,1.54,0.2,21.97,45.6,0
4620.9,589.5,920.3,188.2,3.05,3.2,23.26,33.9,0
8324.9,704.9,809.8,35.9,2.85,2.72,26.85,43.9,0
4825.1,561.3,920.1,177.4,3.4,2.38,22.27,52.0,0
5516.9,433.4,1193.8,237.9,1.75,4.75,15.9,33.3,0
7220.3,1003.6,744.8,230.3,1.33,8.54,22.19,41.2,0
4153.7,540.8,783.0,194.1,2.29,0.57,14.38,37.7,0
6341.2,764.3,888.3,132.9,1.32,1.6,19.37,54.5,0
7960.7,950.6,799.8,165.2,0.3,3.63,20.43,45.1,0
3588.8,677.0,428.9,177.5,0.3,5.8,23.14,44.3,0
6277.0,635.0,722.4,11.9,1.84,3.04,22.95,43.3,0
6389.8,845.2,1001.2,33.5,0.92,5.46,19.22,39.4,0
7172.7,1023.6,1166.3,147.3,0.66,0.4,20.04,30.5,0
4144.6,566.1,596.0,11.5,0.33,4.12,23.69,42.2,0
4019.3,770.0,595.0,219.0,0.58,3.97,15.5,53.4,0
6782.9,453.5,856.7,122.6,1.63,7.92,24.64,40.0,0
6445.5,721.4,393.4,69.3,4.09,6.84,21.92,50.1,0
6375.7,806.8,752.1,100.6,1.67,4.29,12.56,31.9,0
6519.7,629.1,468.1,205.7,1.3,1.62,21.24,57.8,0
4980.0,708.6,1151.2,223.3,1.01,0.2,24.42,59.9,0
6348.4,518.4,680.7,36.7,2.59,1.79,28.08,49.9,0
6439.6,815.4,1213.6,188.9,1.25,9.47,17.98,46.0,0
4928.5,1011.1,1095.0,143.0,1.14,0.2,22.19,36.9,0
8798.7,580.6,707.8,144.7,0.67,1.72,22.38,26.9,0
6710.7,675.5,614.2,189.3,0.89,4.32,22.37,49.6,0
4213.0,900.5,807.4,61.3,2.35,7.16,19.3,55.4,0
6984.8,1042.4,827.0,132.1,1.94,0.8,19.87,43.4,0
4538.0,501.4,926.2,83.5,1.53,5.16,18.69,46.9,0
7180.6,766.2,679.2,31.7,1.61,2.03,21.1,36.2,0
7737.9,856.6,1014.2,34.2,1.07,0.95,22.29,48.6,0
4769.0,779.6,908.4,41.4,2.09,2.51,16.74,54.1,0
7445.1,304.6,775.1,151.4,1.7,3.89,21.93,50.2,0
6619.2,900.2,693.4,34.3,0.62,0.83,21.82,37.2,0
7233.1,1103.9,809.3,141.1,1.32,6.79,20.32,40.3,0
8845.2,823.3,670.3,145.3,0.85,7.62,17.41,51.2,0
5631.9,593.8,862.9,217.9,3.43,2.22,15.68,39.7,0
4869.4,697.4,868.8,154.1,2.22,5.95,13.65,61.1,0
4665.7,1154.0,907.6,236.7,3.35,0.2,14.95,65.8,0
4776.3,982.0,1238.6,17.1,0.77,3.54,14.75,42.5,0
5884.3,928.0,820.9,172.0,3.06,6.09,22.51,69.5,0
6511.7,871.3,1071.0,16.1,1.09,5.79,9.86,45.2,0
6415.0,667.8,900.5,177.8,0.48,4.36,20.58,55.2,0
7240.8,759.9,797.6,98.7,1.45,7.0,14.94,47.6,0
6019.5,784.4,823.8,150.6,1.11,2.16,22.83,45.5,0
8180.3,909.9,837.1,81.2,1.16,4.22,26.58,32.9,0
5603.0,1101.8,911.5,46.6,1.35,4.13,21.45,43.3,0
10080.3,1023.7,638.9,176.4,2.96,5.05,23.53,60.8,0
6938.5,516.1,527.6,218.1,1.99,5.51,22.03,49.9,0
4714.3,844.8,993.9,52.2,2.27,0.76,14.44,45.4,0
4393.7,947.4,1047.6,221.8,2.09,5.71,23.09,44.7,0
6723.7,923.8,1014.0,42.2,0.79,0.99,21.98,50.5,0
5664.8,674.2,884.1,179.2,0.3,6.3,21.92,45.2,0
7071.0,1382.8,1018.8,230.7,1.34,8.38,20.46,49.3,0
6709.9,544.6,1007.0,43.9,2.04,2.75,17.81,43.9,0
5890.8,583.4,1023.3,110.1,1.77,1.65,21.1,43.1,0
4729.8,846.7,660.9,87.6,1.6,8.16,24.42,35.9,0
3727.7,1223.4,608.7,99.3,2.18,3.83,16.93,61.1,0
5330.2,632.8,764.5,183.2,1.47,0.64,19.46,35.8,0
7284.6,746.8,846.2,162.1,1.55,1.7,18.72,47.7,0
6321.1,1015.5,796.8,232.8,0.86,1.84,20.69,40.9,0
4131.4,796.4,437.1,52.7,3.49,7.01,23.05,40.2,0
6259.8,733.1,1228.8,134.9,0.34,1.47,20.71,41.2,0
6578.0,913.1,789.7,113.3,3.03,0.2,25.8,39.5,0
4674.2,854.5,888.0,221.3,0.32,3.87,18.26,48.0,0
6230.6,1006.1,1123.8,12.4,2.48,4.74,22.69,52.4,0
6087.3,1058.3,334.1,237.5,1.54,5.43,18.43,51.1,0
4285.5,861.4,737.4,120.3,2.83,0.2,15.97,28.8,0
6536.7,858.3,764.8,153.9,2.38,3.54,25.87,54.3,0
6841.2,842.8,776.0,92.8,0.54,2.92,19.16,51.2,0
7624.6,897.8,811.8,206.1,0.3,5.05,16.95,39.7,0
7580.7,811.0,1168.4,139.3,0.91,0.2,18.18,51.3,0
3933.5,799.9,998.2,162.4,1.2,4.38,23.6,54.3,0
4593.3,1039.3,1060.8,159.2,0.3,4.45,24.92,42.2,0
6772.6,1103.2,860.4,93.7,1.93,6.84,25.78,38.8,0
6770.7,498.5,542.1,27.5,1.38,4.88,18.44,59.5,0
6772.6,802.0,392.5,195.8,0.96,5.74,19.39,61.4,0
11779.1,662.3,513.5,76.6,1.75,0.91,20.85,52.6,0
6856.3,737.8,929.1,205.3,2.86,3.73,15.44,56.2,0
7703.3,880.5,857.0,150.0,2.86,7.25,21.01,46.4,0
7431.0,933.9,803.8,91.4,1.57,2.75,19.34,54.6,0
6977.1,777.6,768.9,146.7,1.92,5.93,26.67,25.6,0
5527.1,417.3,1292.6,158.5,0.3,1.58,18.32,51.4,0
7138.5,607.0,669.0,172.5,2.35,3.41,19.89,51.2,0
4840.8,979.3,1054.1,199.1,4.24,0.2,26.94,51.2,0
5644.8,251.9,850.4,46.7,1.33,3.77,17.24,49.1,0
5272.0,1037.5,836.6,227.2,2.19,1.88,20.75,49.2,0
6122.8,904.2,1108.9,104.5,1.89,6.85,22.77,40.2,0
9472.0,1063.2,1171.8,207.9,1.48,9.07,18.04,63.3,0
3199.1,760.3,797.3,60.7,2.37,0.2,23.5,59.8,0
7029.4,387.7,1025.8,16.7,0.96,0.89,19.09,66.4,0
3580.9,886.1,930.1,141.9,1.2,6.29,19.83,40.0,0
5292.1,1054.9,851.6,84.7,0.97,2.07,12.91,51.9,0
7633.4,984.9,894.9,236.4,4.74,3.77,20.66,52.7,0
6096.4,667.5,698.6,34.0,0.8,7.76,16.94,26.7,0
4383.4,817.4,782.7,20.9,2.2,7.83,16.43,44.9,0
4927.0,693.4,722.3,20.4,0.76,0.72,23.17,48.1,0
7019.4,636.1,1048.3,59.9,1.74,8.82,21.79,48.3,0
4904.5,991.1,829.1,143.2,2.06,5.66,15.75,37.8,0
6324.7,560.5,564.5,126.3,0.3,6.5,14.74,54.5,0
6068.4,621.2,690.8,90.5,0.48,2.32,12.34,48.2,0
5022.6,579.2,150.0,30.4,0.76,2.06,24.92,41.0,0
9215.9,502.0,741.2,63.8,0.53,0.2,7.61,50.8,0
6950.9,829.3,858.3,52.4,0.68,0.88,21.35,36.7,0
2962.3,1032.3,820.1,181.5,1.84,5.7,14.72,48.5,0
6279.7,763.0,1285.6,189.4,1.02,5.14,24.03,44.3,1
5007.3,498.9,976.5,188.7,2.35,5.96,23.69,45.4,0
7278.7,968.0,966.7,232.9,4.04,4.58,16.84,39.1,0
4811.2,1137.1,488.5,213.4,0.48,3.93,17.66,35.3,0
5827.9,670.8,769.8,124.5,4.3,2.23,19.55,34.7,0
6757.5,704.3,742.9,105.4,2.61,3.28,17.54,33.9,0
7298.6,903.1,677.1,220.6,2.12,6.23,23.79,46.0,0
4199.6,1124.4,674.0,150.6,1.49,6.03,20.09,48.8,0
5498.2,696.0,452.2,77.7,1.66,4.62,23.8,48.4,0
5287.6,533.5,569.3,139.8,0.67,1.65,19.21,38.8,0
5020.0,926.3,1042.3,238.2,1.59,2.79,25.83,34.2,0
8648.2,959.8,818.6,205.4,3.3,0.61,13.86,49.0,0
6607.5,801.2,738.6,74.7,0.71,3.1,18.27,48.7,0
4108.7,688.4,848.8,229.2,2.27,0.2,22.69,54.9,0
7376.8,998.9,1106.8,235.7,2.94,3.15,16.76,34.5,0
9183.2,905.6,850.9,63.2,0.85,2.32,15.37,43.6,0
7548.7,646.3,968.9,216.0,1.95,3.96,13.09,49.1,0
3720.9,809.8,663.7,213.1,2.33,2.05,21.23,31.5,0
5273.6,529.7,713.9,19.1,4.49,5.83,23.71,43.6,0
7900.4,937.2,927.9,164.0,3.34,0.2,18.6,29.7,0
4938.5,747.6,1266.4,80.2,3.29,0.2,22.36,40.3,0
6665.7,712.9,1164.6,165.2,1.18,3.32,27.7,57.5,0
7162.0,793.4,978.2,220.1,2.21,4.66,23.72,63.3,0
4609.6,808.1,883.3,124.7,1.47,2.97,23.27,46.3,0
5910.7,979.0,1158.2,105.3,0.44,3.18,18.24,48.2,0
1138.1,918.2,1024.8,222.0,0.74,4.23,18.42,45.4,0
4463.4,768.7,345.4,234.0,1.57,5.24,21.44,53.3,0
5621.1,952.7,618.1,24.3,1.35,2.93,19.9,52.7,0
4128.3,880.1,924.4,222.3,4.25,4.47,21.89,31.5,0
8448.6,714.7,456.9,29.0,1.67,6.46,9.49,50.1,0
3854.8,775.1,652.5,87.6,2.91,0.58,17.64,34.1,0
5339.9,770.4,696.0,185.4,1.99,7.16,24.41,55.5,0
6196.1,901.1,793.6,188.7,2.1,6.97,12.55,55.2,0
8161.9,726.6,786.8,176.9,2.63,1.91,16.94,30.8,0
3846.2,721.9,786.4,19.0,1.34,5.3,19.03,54.1,0
7744.7,1193.8,1031.6,40.6,1.52,0.2,12.7,35.1,0
6015.3,987.9,791.7,225.3,1.19,4.75,22.33,43.5,0
4527.7,647.9,765.4,28.7,1.5,7.41,21.56,33.7,0
6693.2,914.2,553.2,28.1,1.69,1.39,12.06,49.6,0
6298.6,823.7,1075.4,202.2,1.97,2.1,18.67,59.2,0
5099.7,878.3,702.3,157.5,1.65,4.9,18.97,43.3,0
6104.7,827.5,610.9,90.9,1.75,3.13,22.58,40.2,0
5422.0,1037.9,896.9,48.1,1.95,4.48,22.93,44.7,0
6170.3,869.1,681.3,213.4,0.3,10.11,23.25,58.1,0
6993.2,787.6,734.3,237.4,1.01,2.96,24.21,54.0,0
8379.0,1008.4,906.9,21.5,1.06,0.2,20.83,57.5,0
4143.3,846.7,778.2,137.4,1.93,2.35,26.03,44.7,0
9199.6,824.3,1358.6,70.1,2.2,4.46,22.33,25.6,0
3071.9,862.8,833.5,201.4,0.71,0.8,19.83,28.9,0
5772.3,781.3,985.9,89.6,2.88,2.29,26.96,43.3,0
6882.5,801.8,422.8,174.4,2.13,6.96,17.0,32.3,0
6421.5,682.7,660.7,134.1,0.77,8.08,20.43,51.4,0
5066.0,649.8,610.9,134.6,1.08,3.01,20.85,42.9,0
5687.8,600.3,640.0,207.3,1.46,3.08,22.09,28.6,0
5260.5,521.6,941.4,118.2,2.67,0.93,18.15,48.1,0
5116.0,624.1,1077.8,204.5,2.34,4.63,17.5,38.3,0
7274.4,765.1,925.8,93.6,0.77,9.98,24.58,43.2,0
6535.5,820.6,800.1,50.2,2.99,3.08,15.41,54.4,0
4960.6,745.7,711.2,114.8,1.64,3.17,24.89,56.4,0
7349.4,328.9,1095.0,124.6,3.08,5.24,19.67,56.6,0
6460.9,1114.9,1305.7,120.0,1.74,2.87,21.01,51.3,0
7219.3,1017.3,879.7,195.9,0.69,2.91,17.99,61.1,0
6944.4,889.2,1056.7,139.9,2.1,7.45,19.15,42.3,0
4756.5,1181.5,925.5,214.3,4.57,0.77,24.04,43.4,0
5159.7,604.5,1016.2,128.3,1.0,1.29,18.18,38.9,0
7120.9,1177.5,593.8,61.7,0.82,5.61,12.94,45.7,0
6915.6,607.0,742.6,39.8,1.28,3.63,20.2,45.0,0
5968.6,847.7,937.0,209.7,2.14,1.31,17.03,46.6,0
6176.0,545.2,1116.7,22.9,5.28,4.73,16.29,44.7,0
7916.5,802.9,670.0,37.1,3.08,3.17,17.36,53.4,0
5112.6,877.2,402.7,24.6,0.67,4.43,28.61,45.6,0
6820.6,769.1,740.4,107.5,3.62,3.29,19.27,44.3,0
5696.7,942.8,1072.2,132.5,2.12,0.3,18.06,48.6,0
5673.5,819.8,501.5,14.6,2.08,6.65,23.39,33.7,0
7648.2,695.5,591.1,128.6,1.35,8.23,22.18,34.2,0
7238.1,686.6,884.3,100.6,1.21,1.7,24.64,42.9,0
7220.3,962.2,824.5,187.9,1.66,8.03,25.81,50.6,0
7958.2,669.3,980.8,200.9,4.09,3.74,29.83,45.4,0
6031.5,983.1,579.7,167.5,0.47,0.2,17.04,42.4,0
7022.9,1044.5,778.5,118.9,2.22,5.06,23.92,46.4,0
5534.6,466.3,1112.9,59.7,1.91,0.2,17.15,55.5,0
6486.2,1026.6,587.6,204.8,1.64,2.78,19.25,35.2,0
5804.8,1212.1,1174.9,88.6,2.95,5.77,22.12,46.1,0
6145.5,850.4,615.2,91.9,0.51,5.19,20.3,34.8,0
6892.7,919.8,1036.9,220.7,3.66,2.2,21.42,37.2,0
4772.7,1007.4,767.9,234.4,0.3,5.57,19.28,45.9,0
9138.6,744.9,598.1,216.6,1.37,6.25,16.4,52.6,0
4491.0,836.5,740.7,239.6,0.45,2.49,23.1,47.0,0
4178.7,537.2,969.9,209.8,1.3,3.15,15.28,50.9,0
7737.2,827.7,848.5,172.0,3.87,4.5,25.75,47.2,0
7187.5,899.6,1096.1,77.6,1.15,1.11,19.81,57.6,0
6936.2,903.2,1165.9,229.2,0.7,1.97,24.08,50.7,0
6942.5,1013.1,589.7,211.6,3.54,6.5,27.77,44.2,0
5981.6,645.0,573.6,65.4,1.88,9.74,20.81,53.7,0
4654.1,693.5,562.9,122.5,1.33,5.52,15.83,45.6,0
6113.7,1179.1,652.2,26.1,0.83,4.66,24.77,50.4,0
4984.3,769.9,1092.9,229.3,1.74,8.57,19.04,53.6,0
7462.7,840.0,973.3,141.7,1.37,1.68,15.28,59.1,0
5779.4,786.6,730.1,66.4,2.14,4.21,23.81,61.0,0
4761.8,635.7,847.6,77.3,0.37,6.07,22.47,62.5,0
5517.9,1124.7,1158.9,235.6,1.87,1.92,20.7,54.2,0
6619.4,694.5,1269.8,151.6,3.06,0.2,16.74,44.4,0
5154.4,574.5,907.1,106.8,0.32,6.06,24.96,48.3,0
4766.7,709.9,265.0,125.0,4.38,6.38,24.21,39.2,0
6365.5,399.7,915.4,32.7,0.81,6.11,19.89,41.1,0
6367.4,669.7,1055.6,27.3,0.43,6.15,26.44,46.6,0
5239.6,606.4,899.4,146.3,1.23,4.22,23.92,50.9,0
5293.4,923.5,1009.8,127.8,0.64,4.36,17.24,39.2,0
6348.1,665.3,928.6,92.6,0.75,4.57,18.12,48.9,0
3827.9,977.6,578.4,140.2,1.24,6.77,21.43,31.7,0
3888.8,1079.7,655.0,26.7,1.04,4.7,19.35,42.4,0
4922.3,956.2,779.3,227.1,1.29,4.22,20.94,52.3,0
5679.8,756.9,1084.4,77.6,4.58,4.84,15.95,44.1,0
6466.4,828.2,681.5,26.5,0.31,5.11,17.24,57.6,0
8213.0,495.0,950.3,49.0,0.89,1.35,20.3,51.2,0
7286.5,773.2,916.8,32.0,2.05,7.47,21.02,28.4,0
5760.1,627.9,1199.0,51.1,1.55,2.34,20.85,48.0,0
5971.5,938.9,840.8,105.9,1.91,4.18,14.87,45.2,0
4496.2,1314.6,464.0,179.8,1.68,1.65,20.64,56.5,0
5972.2,900.0,992.3,72.6,1.34,3.49,23.99,33.4,0
5567.0,401.8,1320.4,110.3,0.3,5.34,18.38,53.9,0
6484.1,727.8,1006.7,223.6,3.71,4.78,17.2,58.3,0
4759.2,824.5,676.7,78.0,0.89,2.66,18.25,58.5,0
6779.0,817.5,612.0,192.8,0.56,2.28,18.71,44.0,0
8299.1,653.8,640.3,46.3,1.55,4.65,24.73,53.3,0
5836.9,849.1,1290.7,51.0,5.68,6.7,14.93,48.6,0
6602.6,551.5,778.0,114.9,2.54,7.59,16.0,61.9,0
7035.2,611.0,704.2,63.8,2.91,9.04,11.63,52.9,0
5398.2,929.2,815.1,217.7,8.71,2.25,24.72,46.9,1
6336.1,596.9,780.3,21.7,1.89,2.07,21.22,47.4,0
6018.9,907.6,1194.9,147.4,0.46,3.7,15.04,35.8,0
6146.5,526.1,626.8,149.0,0.98,3.56,19.12,40.4,0
4840.5,1153.0,1109.7,25.2,1.01,0.42,21.8,44.8,0
6036.8,645.1,876.9,178.5,0.42,6.1,22.37,51.8,0
6747.0,755.3,1115.5,117.8,1.25,2.06,24.05,32.2,0
8176.7,866.1,1198.2,176.3,3.54,2.38,13.52,48.9,0
7438.9,686.9,868.7,200.2,4.05,5.08,24.24,38.6,0
9229.8,828.7,780.7,84.3,0.82,1.01,13.22,32.8,0
4849.0,915.1,864.6,121.4,3.9,3.37,23.89,36.7,0
7308.5,992.1,829.2,70.0,2.14,5.85,23.44,46.1,0
6275.0,958.3,485.5,56.3,0.57,4.12,29.57,48.8,0
9284.7,765.6,1191.5,10.1,0.3,5.87,18.4,48.8,0
4787.6,770.7,904.1,231.6,2.2,6.45,17.04,42.9,0
4740.4,1269.8,594.1,111.4,1.73,3.79,21.17,42.3,0
5100.9,990.0,395.1,13.0,1.46,0.2,20.66,46.5,0
2814.2,615.6,337.9,12.1,0.42,7.07,28.86,30.1,0
5211.4,820.0,1019.5,76.3,0.44,3.88,14.36,46.4,0
4861.3,733.0,713.8,13.2,0.99,5.98,17.13,48.9,0
6225.6,772.9,749.9,96.1,0.67,7.42,15.78,34.5,0
6512.6,554.1,957.4,24.5,2.13,0.2,21.75,54.1,0
8814.3,717.6,736.5,19.0,1.97,3.99,18.16,33.7,0
7425.6,1162.3,970.2,164.0,0.92,7.86,21.75,49.8,0
5134.6,915.8,871.0,218.6,1.49,3.48,22.58,36.2,0
